Host Country,United States of America,United Kingdom
Belgium,1. Single Permit Application; 2. Visa Type D Application; 3. Residence Registration (Dependents); 4. First Commune Visit (Residence Registration) [Single Permit (Highly Qualified Employee or Director)]; 1. Van der Elst Visa Application; 2. Posted Worker Notification; 3. Immigration Medical; 4. Residence Permit Application [Van der Elst (Assignment from Within the EEA)]; 1. Single Permit Application; 2. Visa Type D Application; 3. Residence Registration (Dependents); 4. First Commune Visit (Residence Registration) [Single Permit (Specialised Technician) Up To Six Months]; 1. Work Permit Type B Application; 2. Posted Worked Notification (If Applicable) [Work Permit (Highly Qualified Employee or Director) Up To Three Months]; 1. Cross-Border Work Permit Application; 2. Posted Worked Notification (If Applicable) [Cross-Border Work Permit]; 1. Work Permit Type B Application; 2. Posted Worked Notification (If Applicable) [Work Permit (Specialised Technician) Up To Three Months],1. Single Permit Application; 2. Visa Type D Application; 3. Residence Registration (Dependents); 4. First Commune Visit (Residence Registration) [Single Permit (Highly Qualified Employee or Director)]; 1. Van der Elst Visa Application; 2. Posted Worker Notification; 3. Immigration Medical; 4. Residence Permit Application [Van der Elst (Assignment from Within the EEA)]; 1. Single Permit Application; 2. Visa Type D Application; 3. Residence Registration (Dependents); 4. First Commune Visit (Residence Registration) [Single Permit (Specialised Technician) Up To Six Months]; 1. Work Permit Type B Application; 2. Posted Worked Notification (If Applicable) [Work Permit (Highly Qualified Employee or Director) Up To Three Months]; 1. Cross-Border Work Permit Application; 2. Posted Worked Notification (If Applicable) [Cross-Border Work Permit]; 1. Work Permit Type B Application; 2. Posted Worked Notification (If Applicable) [Work Permit (Specialised Technician) Up To Three Months]
Bolivia,1. Short-Term Visa Application; 2. Change of Status Application (Timing Assumes Santa Cruz); 3. ID Card Application at SEGIP [Temporary Residence (Permanencia Temporal)]; 1. Short-Term Visa (Visa de Objeto Determinado) Application [Short-Term Visa (Visa de Objeto Determinado por Trabajo)]; 1. Short-Term Visa Application; 2. Short-Term Authorisation Application [Short-Term Authorisation (Permanencia Transitoria)],1. Short-Term Visa Application; 2. Change of Status Application (Timing Assumes Santa Cruz); 3. ID Card Application at SEGIP [Temporary Residence (Permanencia Temporal)]; 1. Short-Term Visa (Visa de Objeto Determinado) Application [Short-Term Visa (Visa de Objeto Determinado por Trabajo)]; 1. Short-Term Visa Application; 2. Short-Term Authorisation Application [Short-Term Authorisation (Permanencia Transitoria)]
Brazil,1. Visitor Visa Application; 2. Visitor Visa Collection; 3. Temporary Residence Authorisation Online Application; 4. Change of Status and RNM Card Application; 5. RNM Card Collection [Residence Permit - Legal Representative NR 11 (Post-Arrival Change of Status)]; 1. Temporary Residence Authorisation Online Application; 2. Online Visa Application; 3. Temporary Residence Visa Application; 4. Temporary Residence Visa Collection; 5. RNM Card Application; 6. Registration with Tax Authorities; 7. Registration with Social Security Authorities (CTPS Application) [Residence Permit - Employment NR 2 (Consular Application)]; 1. Temporary Residence Authorisation Online Application; 2. Temporary Residence Visa Application; 3. Temporary Residence Visa Collection; 4. RNM Card Application; 5. RNM Card Collection [Residence Permit - Legal Representative NR 11 (Consular Application)]; 1. Temporary Residence Authorisation Online Application; 2. Online Visa Application; 3. Temporary Residence Visa Application; 4. Registration and RNM Card Application; 5. RNM Card Collection [Residence Permit - Urgent or Emergency Technical Assistance NR 3 (180 Days)]; 1. Temporary Residence Authorisation Online Application; 2. Online Visa Application; 3. Temporary Residence Visa Application; 4. Temporary Residence Visa Collection; 5. RNM Card Application [Residence Permit - Technology Transfer NR 4 (Consular Application)]; 1. Temporary Residence Authorisation Online Application; 2. Online Visa Application; 3. Temporary Residence Visa Application; 4. Temporary Residence Visa Collection; 5. RNM Card Application; 6. RNM Card Collection [Residence Permit - Trainee NR 18/19 (Consular Application)]; 1. Online Visa Application; 2. Visitor Visa Application; 3. Visitor Visa Collection; 4. Temporary Residence Authorisation Online Application; 5. Change of Status and RNM Card Application; 6. Registration with Tax Authorities; 7. Registration with Social Security Authorities (CTPS Application) [Residence Permit - Employment NR 2 (Post-Arrival Change of Status)]; 1. Online Visa Application; 2. Visitor Visa Application; 3. Visitor Visa Collection; 4. Temporary Residence Authorisation Online Application; 5. Change of Status and RNM Card Application [Residence Permit - Vessel or Rig NR 6 (Post-Arrival Change of Status)]; 1. Temporary Residence Authorisation Online Application; 2. Online Visa Application; 3. Temporary Residence Visa Application; 4. Temporary Residence Visa Collection; 5. RNM Card Application; 6. RNM Card Collection [Residence Permit - Technical Assistance NR 3 (Consular Application)]; 1. Temporary Residence Authorisation Online Application; 2. Online Visa Application; 3. Temporary Residence Visa Application; 4. Temporary Residence Visa Collection; 5. RNM Card Application [Residence Permit - Vessel or Rig NR 6 (Consular Application)],1. Temporary Residence Authorisation Online Application; 2. Change of Status and RNM Card Application; 3. RNM Card Collection [Residence Permit - Legal Representative NR 11 (Post-Arrival Change of Status)]; 1. Temporary Residence Authorisation Online Application; 2. Online Visa Application; 3. Temporary Residence Visa Application; 4. Temporary Residence Visa Collection; 5. RNM Card Application; 6. Registration with Tax Authorities; 7. Registration with Social Security Authorities (CTPS Application) [Residence Permit - Employment NR 2 (Consular Application)]; 1. Temporary Residence Authorisation Online Application; 2. Temporary Residence Visa Application; 3. Temporary Residence Visa Collection; 4. RNM Card Application; 5. RNM Card Collection [Residence Permit - Legal Representative NR 11 (Consular Application)]; 1. Temporary Residence Authorisation Online Application; 2. Online Visa Application; 3. Temporary Residence Visa Application; 4. Registration and RNM Card Application; 5. RNM Card Collection [Residence Permit - Urgent or Emergency Technical Assistance NR 3 (180 Days)]; 1. Temporary Residence Authorisation Online Application; 2. Online Visa Application; 3. Temporary Residence Visa Application; 4. Temporary Residence Visa Collection; 5. RNM Card Application [Residence Permit - Technology Transfer NR 4 (Consular Application)]; 1. Temporary Residence Authorisation Online Application; 2. Online Visa Application; 3. Temporary Residence Visa Application; 4. Temporary Residence Visa Collection; 5. RNM Card Application; 6. RNM Card Collection [Residence Permit - Trainee NR 18/19 (Consular Application)]; 1. Temporary Residence Authorisation Online Application; 2. Change of Status and RNM Card Application; 3. Registration with Tax Authorities; 4. Registration with Social Security Authorities (CTPS Application) [Residence Permit - Employment NR 2 (Post-Arrival Change of Status)]; 1. Temporary Residence Authorisation Online Application; 2. Change of Status and RNM Card Application [Residence Permit - Vessel or Rig NR 6 (Post-Arrival Change of Status)]; 1. Temporary Residence Authorisation Online Application; 2. Online Visa Application; 3. Temporary Residence Visa Application; 4. Temporary Residence Visa Collection; 5. RNM Card Application; 6. RNM Card Collection [Residence Permit - Technical Assistance NR 3 (Consular Application)]; 1. Temporary Residence Authorisation Online Application; 2. Online Visa Application; 3. Temporary Residence Visa Application; 4. Temporary Residence Visa Collection; 5. RNM Card Application [Residence Permit - Vessel or Rig NR 6 (Consular Application)]
Bulgaria,1. Work Permit Application; 2. Visa Type D Application; 3. Address Registration; 4. Posted Worker Notification; 5. Residence Permit Application; 6. Family Reunification Application; 7. Visa Type D Application for Dependents; 8. Address Registration; 9. Residence Permit Application for Dependents; 10. Residence Permit Collection [Intra-Company Transfer Permit (EU Directive 2014/66)]; 1. Visa Type D Application; 2. Address Registration; 3. Notification of Employment; 4. Residence Permit Application; 5. Family Reunification Application; 6. Visa Type D Application for Dependents; 7. Address Registration; 8. Residence Permit Application for Dependents; 9. Residence Permit Collection [Work Permit Exemption]; 1. Work Authorisation Application; 2. Address Registration; 3. Posted Worker Notification [Temporary Work Authorisation (Under 90 Days)]; 1. Work Permit Application; 2. Visa Type D Application; 3. Address Registration; 4. Notification of Employment; 5. Residence Permit Application; 6. Family Reunification Application; 7. Visa Type D Application for Dependents; 8. Address Registration; 9. Residence Permit Application for Dependents [Work Permit (Local Hire)]; 1. Blue Card Application; 2. Visa Type D Application; 3. Address Registration; 4. Blue Card Residence Permit Application; 5. Family Reunification Application; 6. Visa Type D Application for Dependents; 7. Address Registration; 8. Residence Permit Application for Dependents [Blue Card],1. Work Permit Application; 2. Visa Type D Application; 3. Address Registration; 4. Posted Worker Notification; 5. Residence Permit Application; 6. Family Reunification Application; 7. Visa Type D Application for Dependents; 8. Address Registration; 9. Residence Permit Application for Dependents; 10. Residence Permit Collection [Intra-Company Transfer Permit (EU Directive 2014/66)]; 1. Visa Type D Application; 2. Address Registration; 3. Notification of Employment; 4. Residence Permit Application; 5. Family Reunification Application; 6. Visa Type D Application for Dependents; 7. Address Registration; 8. Residence Permit Application for Dependents; 9. Residence Permit Collection [Work Permit Exemption]; 1. Work Authorisation Application; 2. Address Registration; 3. Posted Worker Notification [Temporary Work Authorisation (Under 90 Days)]; 1. Work Permit Application; 2. Visa Type D Application; 3. Address Registration; 4. Notification of Employment; 5. Residence Permit Application; 6. Family Reunification Application; 7. Visa Type D Application for Dependents; 8. Address Registration; 9. Residence Permit Application for Dependents [Work Permit (Local Hire)]; 1. Blue Card Application; 2. Visa Type D Application; 3. Address Registration; 4. Blue Card Residence Permit Application; 5. Family Reunification Application; 6. Visa Type D Application for Dependents; 7. Address Registration; 8. Residence Permit Application for Dependents [Blue Card]
Cameroon,1. Work Permit Application; 2. Entry Visa Application; 3. Visa Application on Arrival; 4. Residence Permit Application; 5. Exit Visa Application [Work Permit ],1. Work Permit Application; 2. Entry Visa Application; 3. Visa Application on Arrival; 4. Residence Permit Application; 5. Exit Visa Application [Work Permit ]
Canada,1. eTA Application; 2. Port of Entry Application as Business Visitor (Employee of Foreign Company) [Entry as a Business Visitor (Employees of Foreign Companies Contracting Canadian Companies)]; 1. Labour Market Impact Assessment (LMIA) Application [Global Talent Stream]; 1. eTA Application; 2. Port of Entry Application as Business Visitor (After Sales) [Entry as a Business Visitor (After-Sales)]; 1. Port of Entry Work Permit Application [Intra-Company Transfer Work Permit ]; 1. Port of Entry Work Permit Application [Temporary Entry as a Professional under CUSMA]; 1. Advertisement (Labour Market Test); 2. Labour Market Impact Assessment (LMIA) Application; 3. Port of Entry Work Permit Application [Temporary Foreign Worker Program (LMIA-Based) Work Permit],1. eTA Application; 2. Port of Entry Application as Business Visitor (Employee of Foreign Company) [Entry as a Business Visitor (Employees of Foreign Companies Contracting Canadian Companies)]; 1. Labour Market Impact Assessment (LMIA) Application; 2. eTA (Electronic Travel Authorisation) Application [Global Talent Stream]; 1. eTA Application; 2. Port of Entry Application as Business Visitor (After Sales) [Entry as a Business Visitor (After-Sales)]; 1. eTA (Electronic Travel Authorisation); 2. Port of Entry Work Permit Application [Intra-Company Transfer Work Permit ]; 1. Advertisement (Labour Market Test); 2. Labour Market Impact Assessment (LMIA) Application; 3. eTA (Electronic Travel Authorisation) Application; 4. Port of Entry Work Permit Application [Temporary Foreign Worker Program (LMIA-Based) Work Permit]
Chile,1. Work Contract Visa Application; 2. ID Card Application; 3. ID Card Collection [Local Hire Work Contract Visa (Visa Sujeta a Contrato) (Consular Application)]; 1. Temporary Residence Visa Application; 2. ID Card Application; 3. ID Card Collection [Temporary Residence for Assignees (Residencia Temporaria) (Consular Application)]; 1. Special Work Permit Application and Payment; 2. Payment Order and Permit Fee Payment [Special Work Permit for Tourists (Short-Term Assignment)]; 1. Work Contract Visa and Provisional Work Permit Application; 2. ID Card Application; 3. ID Card Collection [Local Hire Work Contract Visa (Visa Sujeta a Contrato) (Post-Arrival Change of Status)]; 1. Temporary Residence Visa and Provisional Work Permit Application; 2. ID Card Application; 3. ID Card Collection [Temporary Residence for Assignees (Residencia Temporaria) (Post-Arrival Change of Status)],1. Work Contract Visa Application; 2. ID Card Application; 3. ID Card Collection [Local Hire Work Contract Visa (Visa Sujeta a Contrato) (Consular Application)]; 1. Temporary Residence Visa Application; 2. ID Card Application; 3. ID Card Collection [Temporary Residence for Assignees (Residencia Temporaria) (Consular Application)]; 1. Special Work Permit Application and Payment; 2. Payment Order and Permit Fee Payment [Special Work Permit for Tourists (Short-Term Assignment)]; 1. Work Contract Visa and Provisional Work Permit Application; 2. ID Card Application; 3. ID Card Collection [Local Hire Work Contract Visa (Visa Sujeta a Contrato) (Post-Arrival Change of Status)]; 1. Temporary Residence Visa and Provisional Work Permit Application; 2. ID Card Application; 3. ID Card Collection [Temporary Residence for Assignees (Residencia Temporaria) (Post-Arrival Change of Status)]
China,1. Medical Check; 2. Application for Notification Letter of Work Permit; 3. Entry Visa Application; 4. Temporary Residence Registration; 5. Quarantine Bureau; 6. Work Permit Application; 7. Residence Permit Application [Work and Residence Permit (Offshore)]; 1. Entry Visa Application; 2. Temporary Residence Registration; 3. Quarantine Bureau; 4. Work Permit Application; 5. Residence Permit Application [Work and Residence Permit (Onshore)]; 1. Application for Notification Letter of Work Permit  (90 Days or Under); 2. Entry Visa Application; 3. Temporary Residence Registration; 4. Temporary Residence Registration; 5. Residence Permit [Short-Term Work Permit (Up to 90 days)]; 1. M Visa Application; 2. Temporary Residence Registration [Short-Term Activities on an M Visa (Up to 90 days)],1. Medical Check; 2. Application for Notification Letter of Work Permit; 3. Entry Visa Application; 4. Temporary Residence Registration; 5. Quarantine Bureau; 6. Work Permit Application; 7. Residence Permit Application [Work and Residence Permit (Offshore)]; 1. Entry Visa Application; 2. Temporary Residence Registration; 3. Quarantine Bureau; 4. Work Permit Application; 5. Residence Permit Application [Work and Residence Permit (Onshore)]; 1. Application for Notification Letter of Work Permit  (90 Days or Under); 2. Entry Visa Application; 3. Temporary Residence Registration; 4. Temporary Residence Registration; 5. Residence Permit [Short-Term Work Permit (Up to 90 days)]; 1. M Visa Application; 2. Temporary Residence Registration [Short-Term Activities on an M Visa (Up to 90 days)]
Colombia,1. Visitor Visa Application; 2. Registration with Agency of National Migration and Alien ID Card Application; 3. Alien ID Card Issuance [Visitor Visa for Intra-Company Transfer Under Free-Trade Agreements (Post-Arrival Change of Status)]; 1. Visitor Visa Application; 2. Registration with Agency of National Migration and Alien ID Card Application; 3. Alien ID Card Issuance [Visitor Visa for Intra-Company Transfer Under Free-Trade Agreements (Consular Application) ]; 1. Visitor Visa Application; 2. Registration with Agency of National Migration and Alien ID Card Application; 3. Alien ID Card Issuance [Visitor Visa for Technical Services (Post-Arrival Change of Status)]; 1. Visitor Visa Application; 2. Registration with Agency of National Migration and Alien ID Card Application; 3. Alien ID Card Issuance [Visitor Visa for Technical Services (Consular Application) ]; 1. POA Application [Permit for Other Activities (Urgent Technical Assistance)]; 1. Temporary Professional Permit Application; 2. Migrant Visa Application; 3. Registration with Agency of National Migration and Alien ID Card Application; 4. Alien ID Card Issuance [Local Hire Migrant Visa (Consular Application) ]; 1. Temporary Professional Permit Application; 2. Migrant Visa Application; 3. Registration with Agency of National Migration and Alien ID Card Application; 4. Alien ID Card Issuance [Local Hire Migrant Visa (Post-Arrival Change of Status) ],1. Visitor Visa Application; 2. Registration with Agency of National Migration and Alien ID Card Application; 3. Alien ID Card Issuance [Visitor Visa for Intra-Company Transfer Under Free-Trade Agreements (Post-Arrival Change of Status)]; 1. Visitor Visa Application; 2. Registration with Agency of National Migration and Alien ID Card Application; 3. Alien ID Card Issuance [Visitor Visa for Intra-Company Transfer Under Free-Trade Agreements (Consular Application) ]; 1. Visitor Visa Application; 2. Registration with Agency of National Migration and Alien ID Card Application; 3. Alien ID Card Issuance [Visitor Visa for Technical Services (Post-Arrival Change of Status)]; 1. Visitor Visa Application; 2. Registration with Agency of National Migration and Alien ID Card Application; 3. Alien ID Card Issuance [Visitor Visa for Technical Services (Consular Application) ]; 1. POA Application [Permit for Other Activities (Urgent Technical Assistance)]; 1. Temporary Professional Permit Application; 2. Migrant Visa Application; 3. Registration with Agency of National Migration and Alien ID Card Application; 4. Alien ID Card Issuance [Local Hire Migrant Visa (Consular Application) ]; 1. Temporary Professional Permit Application; 2. Migrant Visa Application; 3. Registration with Agency of National Migration and Alien ID Card Application; 4. Alien ID Card Issuance [Local Hire Migrant Visa (Post-Arrival Change of Status) ]
Congo (Brazzaville),1. Entry Visa Application; 2. Long-Term Visa Application and Collection; 3. Temporary Employment Authorisation and Labour Card Application [Temporary Employment Authorisation]; 1. Entry Visa Application; 2. Immigration Office Registration [Entry Visa (Short-Term Work)]; 1. Entry Visa Application; 2. Long-Term Visa Application; 3. Provisional Authorisation and Labour Card Application; 4. Work Permit Application [Work Permit],1. Entry Visa Application; 2. Long-Term Visa Application and Collection; 3. Temporary Employment Authorisation and Labour Card Application [Temporary Employment Authorisation]; 1. Entry Visa Application; 2. Immigration Office Registration [Entry Visa (Short-Term Work)]; 1. Entry Visa Application; 2. Long-Term Visa Application; 3. Provisional Authorisation and Labour Card Application; 4. Work Permit Application [Work Permit]
Costa Rica,1. Fingerprinting at Public Security Ministry; 2. Permit of Stay Application; 3. Permit of Stay ID Application and Collection [Permit of Stay (Estancia) for Assignees (Registered Entities)]; 1. Temporary Residence Application; 2. Social Security Registration; 3. Residence Card Application at Immigration Office [Temporary Residence for Local Hires (Post-Arrival Change of Status) (Non-Registered Entities)]; 1. Fingerprinting at Public Security Ministry; 2. Permit of Stay Application; 3. Permit of Stay ID Application and Collection [Permit of Stay (Estancia) for Assignees (Non-Registered Entities)]; 1. Temporary Residence Application Appointment Booking; 2. Temporary Residence Application; 3. Social Security Registration; 4. Residence Card Application at Immigration Office (or Bank of Costa Rica) [Temporary Residence for Local Hires (Post-Arrival Change of Status) (Registered Entities)],1. Fingerprinting at Public Security Ministry; 2. Permit of Stay Application; 3. Permit of Stay ID Application and Collection [Permit of Stay (Estancia) for Assignees (Registered Entities)]; 1. Temporary Residence Application; 2. Social Security Registration; 3. Residence Card Application at Immigration Office [Temporary Residence for Local Hires (Post-Arrival Change of Status) (Non-Registered Entities)]; 1. Fingerprinting at Public Security Ministry; 2. Permit of Stay Application; 3. Permit of Stay ID Application and Collection [Permit of Stay (Estancia) for Assignees (Non-Registered Entities)]; 1. Temporary Residence Application Appointment Booking; 2. Temporary Residence Application; 3. Social Security Registration; 4. Residence Card Application at Immigration Office (or Bank of Costa Rica) [Temporary Residence for Local Hires (Post-Arrival Change of Status) (Registered Entities)]
